time_index,percolating,A_max_frac,AF,mean_width_px,median_width_px,finger_count,gini_k,logk_mean,logk_std,anisotropy_ratio,n_labels,percolating_label
0,False,0.0098,0.0917,0.0,0.0,59,0.7482203342367182,-0.1171431189863046,0.7471127920776356,13.26629672407072,23,-1
1,False,0.0098,0.0917,0.0,0.0,59,0.7482203342367184,-0.1192120992121476,0.7471127920776356,13.26629672407072,23,-1
2,False,0.011,0.0878,0.0,0.0,50,0.753351092098179,-0.10623249177490575,0.7585285970124876,13.04096243116541,21,-1
3,False,0.0116,0.0882,0.0,0.0,52,0.7562805772447501,-0.09974203149814408,0.7632103900303203,13.090687839295192,21,-1
4,False,0.0125,0.0891,0.0,0.0,51,0.7625790404894126,-0.0942204316011168,0.768162669404845,13.142850904284423,21,-1
5,False,0.0129,0.0891,0.0,0.0,48,0.7674870511928984,-0.08898980929028127,0.7721406046194546,13.247735659343036,21,-1
6,False,0.0133,0.0893,0.0,0.0,48,0.7708245264239544,-0.08426233604251929,0.7750657806002181,13.281738275373494,21,-1
7,False,0.0135,0.0891,0.0,0.0,48,0.773908175955939,-0.07940826140291171,0.777973927414458,13.361830256091917,21,-1
8,False,0.0136,0.0869,0.0,0.0,45,0.7769184556348596,-0.07450762853636977,0.781040940324087,13.244328005077865,20,-1
9,False,0.0137,0.0865,0.0,0.0,44,0.7805151319587735,-0.06960477844758893,0.7843615167993504,13.163200993563423,20,-1
10,False,0.0141,0.0872,0.0,0.0,46,0.7851580981967421,-0.06471785391635183,0.788210608414143,13.424901504962477,20,-1
11,False,0.0143,0.0885,0.0,0.0,49,0.7907884414624171,-0.059882094144720226,0.792355305069193,13.47316082603031,20,-1
12,False,0.0146,0.088,0.0,0.0,51,0.7974659503922421,-0.05494056845000805,0.7969768776313944,13.40041065020578,21,-1
13,False,0.0146,0.0873,0.0,0.0,49,0.8045872230466651,-0.049820675494740146,0.8018173002859454,13.389331602051827,19,-1
14,False,0.0146,0.0882,0.0,0.0,48,0.8119846784790936,-0.04475609918819258,0.8066103060608879,13.43901106184771,19,-1
