Porosity 100years,Diffusion coefficient 100years,Porosity 1000years,Diffusion coefficient 1000years,Porosity 3000years,Diffusion coefficient 3000years
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.50E-01,2.47E-10
4.60E-01,3.55E-10,3.95E-01,2.90E-10,2.30E-01,1.41E-10
1.42E-01,7.39E-11,5.00E-01,3.96E-10,5.27E-01,4.25E-10
9.01E-02,4.04E-11,4.96E-01,3.92E-10,4.96E-01,3.93E-10
3.13E-01,2.13E-10,4.96E-01,3.93E-10,4.93E-01,3.90E-10
3.49E-01,2.45E-10,4.97E-01,3.93E-10,4.93E-01,3.90E-10
3.50E-01,2.47E-10,4.98E-01,3.95E-10,4.93E-01,3.89E-10
3.50E-01,2.47E-10,5.30E-02,1.99E-11,4.92E-01,3.89E-10
3.50E-01,2.47E-10,4.87E-02,1.78E-11,4.92E-01,3.89E-10
3.50E-01,2.47E-10,2.60E-01,1.66E-10,4.92E-01,3.89E-10
3.50E-01,2.47E-10,3.51E-01,2.48E-10,4.93E-01,3.89E-10
3.50E-01,2.47E-10,3.51E-01,2.47E-10,4.93E-01,3.89E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,2.82E-01,1.85E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,2.50E-02,7.30E-12
3.50E-01,2.47E-10,3.50E-01,2.47E-10,1.06E-01,4.99E-11
3.50E-01,2.47E-10,3.50E-01,2.47E-10,2.88E-01,1.90E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.37E-01,2.35E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.59E-01,2.55E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.50E-01,2.47E-10,3.51E-01,2.48E-10
3.50E-01,2.47E-10,3.51E-01,2.47E-10,3.51E-01,2.48E-10
