Calcite 100years,Gypsum 100years,Ferrihydrite 100years,Jarosite 100years,Gibbsite 100years,Siderite 100years,Calcite 1000years,Gypsum 1000years,Ferrihydrite 1000years,Jarosite 1000years,Gibbsite 1000years,Siderite 1000years,Calcite 3000years,Gypsum 3000years,Ferrihydrite 3000years,Jarosite 3000years,Gibbsite 3000years,Siderite 3000years
1.00E-10,1.00E-10,1.51E-01,1.26E-02,4.65E-02,1.00E-10,1.00E-10,1.00E-10,1.12E-01,1.64E-01,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,4.40E-01,1.00E-10,1.00E-10
1.00E-10,3.37E-01,9.62E-02,1.54E-05,9.47E-02,1.00E-10,1.00E-10,1.00E-10,1.70E-01,2.28E-05,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.43E-01,2.20E-05,1.00E-10,1.00E-10
1.00E-10,3.96E-01,7.63E-03,1.00E-10,9.74E-02,7.86E-02,1.00E-10,1.00E-10,1.74E-01,2.83E-05,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.74E-01,2.74E-05,1.00E-10,1.00E-10
1.88E-01,6.28E-02,1.23E-06,1.00E-10,5.00E-02,5.59E-02,1.00E-10,1.00E-10,1.74E-01,3.70E-05,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.77E-01,3.60E-05,1.00E-10,1.00E-10
2.18E-01,2.86E-03,9.93E-09,1.00E-10,5.00E-02,5.01E-02,1.00E-10,1.00E-10,1.73E-01,4.22E-05,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.77E-01,4.10E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,1.00E-10,1.65E-01,4.77E-05,6.21E-03,1.00E-10,1.00E-10,1.00E-10,1.77E-01,4.64E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,4.19E-01,7.36E-02,2.89E-05,1.24E-01,1.00E-10,1.00E-10,1.00E-10,1.78E-01,5.18E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,4.05E-01,3.30E-04,1.00E-10,1.09E-01,1.07E-01,1.00E-10,1.00E-10,1.78E-01,5.80E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,3.16E-02,2.61E-01,4.54E-06,1.00E-10,5.00E-02,6.76E-02,1.00E-10,1.00E-10,1.78E-01,6.52E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.10E-01,8.24E-03,8.63E-08,1.00E-10,5.00E-02,5.05E-02,1.00E-10,1.00E-10,1.77E-01,7.25E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,1.00E-10,1.77E-01,8.04E-05,1.00E-10,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,2.11E-01,1.68E-01,8.90E-05,9.35E-03,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,4.28E-01,2.57E-02,2.01E-05,1.91E-01,1.00E-10
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,3.58E-01,1.11E-04,1.00E-10,7.39E-02,1.33E-01
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.00E-10,2.65E-01,4.90E-06,1.00E-10,5.00E-02,6.71E-02
