Porosity 10years,Hydraulic head 10years,Calcite 10years,Porosity 100years,Hydraulic head 100years,Calcite 100years,Porosity 120years,Hydraulic head 120years,Calcite 120years
0.6372,0.007,0.0111,0.65,0.007,0,0.65,0.007,0
0.6296,0.007,0.018,0.65,0.007,0,0.65,0.007,0
0.5966,0.007,0.049,0.65,0.007,0,0.65,0.0069,0
0.5249,0.007,0.1183,0.65,0.007,0,0.65,0.0069,0
0.4405,0.007,0.2035,0.65,0.007,0,0.65,0.0068,0
0.3859,0.0069,0.261,0.65,0.007,0,0.65,0.0068,0
0.3625,0.0068,0.2864,0.65,0.0069,0,0.65,0.0067,0
0.3541,0.0068,0.2955,0.65,0.0069,0,0.65,0.0067,0
0.3513,0.0067,0.2985,0.65,0.0069,0,0.65,0.0066,0
0.3504,0.0066,0.2995,0.65,0.0069,0,0.65,0.0066,0
0.3501,0.0065,0.2999,0.65,0.0069,0,0.65,0.0065,0
0.3501,0.0064,0.3,0.65,0.0069,0,0.65,0.0065,0
0.35,0.0063,0.3,0.65,0.0069,0,0.65,0.0064,0
0.35,0.0062,0.3,0.65,0.0069,0,0.65,0.0064,0
0.35,0.0061,0.3,0.65,0.0069,0,0.65,0.0063,0
0.35,0.006,0.3,0.65,0.0069,0,0.65,0.0063,0
0.35,0.0059,0.3,0.65,0.0068,0,0.65,0.0062,0
0.35,0.0058,0.3,0.65,0.0068,0,0.65,0.0062,0
0.35,0.0057,0.3,0.65,0.0068,0,0.65,0.0061,0
0.35,0.0056,0.3,0.65,0.0068,0,0.65,0.0061,0
0.35,0.0056,0.3,0.65,0.0068,0,0.65,0.006,0
0.35,0.0055,0.3,0.65,0.0068,0,0.65,0.006,0
0.35,0.0054,0.3,0.65,0.0068,0,0.65,0.0059,0
0.35,0.0053,0.3,0.65,0.0068,0,0.65,0.0059,0
0.35,0.0052,0.3,0.65,0.0068,0,0.65,0.0058,0
0.35,0.0051,0.3,0.65,0.0068,0,0.65,0.0058,0
0.35,0.005,0.3,0.65,0.0068,0,0.65,0.0057,0
0.35,0.0049,0.3,0.65,0.0067,0,0.65,0.0057,0
0.35,0.0048,0.3,0.65,0.0067,0,0.65,0.0056,0
0.35,0.0047,0.3,0.65,0.0067,0,0.65,0.0056,0
0.35,0.0046,0.3,0.65,0.0067,0,0.65,0.0055,0
0.35,0.0045,0.3,0.65,0.0067,0,0.65,0.0055,0
0.35,0.0044,0.3,0.65,0.0067,0,0.65,0.0054,0
0.35,0.0043,0.3,0.65,0.0067,0,0.65,0.0054,0
