Porosity 10years,Hydraulic conductivity 10years,Hydraulic head 10years,Calcite 10years,Gypsum 10years,Porosity 100years,Hydraulic conductivity 100years,Hydraulic head 100years,Calcite 100years,Gypsum 100years,Porosity 1000years,Hydraulic conductivity 1000years,Hydraulic head 1000years,Calcite 1000years,Gypsum 1000years
6.37E-01,2.25E-03,7.00E-03,1.24E-02,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
6.37E-01,2.25E-03,7.00E-03,1.25E-02,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
6.36E-01,2.22E-03,6.99E-03,1.39E-02,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
6.31E-01,2.10E-03,6.99E-03,1.92E-02,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
6.17E-01,1.84E-03,6.98E-03,3.22E-02,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
5.93E-01,1.44E-03,6.98E-03,5.66E-02,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
4.82E-01,4.75E-04,6.96E-03,9.40E-02,7.29E-02,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
3.70E-01,1.45E-04,6.92E-03,1.43E-01,1.36E-01,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
2.99E-01,6.22E-05,6.81E-03,1.97E-01,1.54E-01,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
2.66E-01,3.97E-05,6.61E-03,2.41E-01,1.43E-01,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
2.61E-01,3.70E-05,6.37E-03,2.69E-01,1.21E-01,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
2.70E-01,4.24E-05,6.12E-03,2.83E-01,9.73E-02,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
2.84E-01,5.13E-05,5.92E-03,2.89E-01,7.66E-02,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
2.98E-01,6.12E-05,5.75E-03,2.93E-01,5.97E-02,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10,6.50E-01,2.56E-03,7.00E-03,1.00E-10,1.00E-10
3.09E-01,7.07E-05,5.60E-03,2.95E-01,4.64E-02,5.38E-01,8.38E-04,7.00E-03,1.00E-10,1.12E-01,5.46E-01,9.05E-04,7.00E-03,1.00E-10,1.04E-01
3.18E-01,7.92E-05,5.48E-03,2.96E-01,3.60E-02,2.28E-01,2.29E-05,7.00E-03,1.00E-10,4.22E-01,2.28E-01,2.29E-05,7.00E-03,1.00E-10,4.22E-01
3.25E-01,8.64E-05,5.36E-03,2.97E-01,2.79E-02,8.59E-02,8.67E-07,7.00E-03,1.00E-10,5.64E-01,8.59E-02,8.67E-07,7.00E-03,1.00E-10,5.64E-01
3.31E-01,9.25E-05,5.25E-03,2.98E-01,2.16E-02,6.90E-03,3.80E-10,3.50E-03,8.01E-02,5.63E-01,1.78E-03,6.48E-12,3.50E-03,7.47E-02,5.74E-01
3.35E-01,9.74E-05,5.15E-03,2.98E-01,1.67E-02,8.51E-02,8.40E-07,3.55E-06,2.32E-01,3.33E-01,8.51E-02,8.40E-07,6.05E-08,2.32E-01,3.33E-01
3.39E-01,1.01E-04,5.06E-03,2.99E-01,1.30E-02,1.65E-01,7.41E-06,1.78E-06,2.71E-01,2.14E-01,1.65E-01,7.41E-06,3.04E-08,2.71E-01,2.14E-01
