Porosity 10years,Hydraulic conductivity 10years,Hydraulic head 10years,Porosity 100years,Hydraulic conductivity 100years,Hydraulic head 100years,Porosity 300years,Hydraulic conductivity 300years,Hydraulic head 300years
5.40E-01,8.54E-04,7.00E-03,5.55E-01,9.83E-04,7.00E-03,5.58E-01,1.01E-03,7.00E-03
5.27E-01,7.51E-04,7.00E-03,5.42E-01,8.66E-04,7.00E-03,5.45E-01,8.91E-04,7.00E-03
4.33E-01,2.87E-04,7.00E-03,5.11E-01,6.35E-04,7.00E-03,5.14E-01,6.55E-04,7.00E-03
2.95E-01,5.91E-05,7.00E-03,4.56E-01,3.66E-04,7.00E-03,4.95E-01,5.42E-04,7.00E-03
1.96E-01,1.34E-05,6.98E-03,2.14E-01,1.80E-05,7.00E-03,2.14E-01,1.81E-05,7.00E-03
1.34E-01,3.63E-06,6.93E-03,1.44E-01,4.61E-06,7.00E-03,1.44E-01,4.61E-06,7.00E-03
9.66E-02,1.26E-06,6.75E-03,1.01E-01,1.45E-06,6.99E-03,1.01E-01,1.45E-06,7.00E-03
7.77E-02,6.31E-07,6.38E-03,8.34E-02,7.90E-07,6.98E-03,8.34E-02,7.90E-07,7.00E-03
6.55E-02,3.67E-07,5.69E-03,7.76E-02,6.28E-07,6.96E-03,7.76E-02,6.28E-07,7.00E-03
5.53E-02,2.16E-07,4.52E-03,7.15E-02,4.84E-07,6.94E-03,7.15E-02,4.84E-07,7.00E-03
5.32E-02,1.92E-07,2.96E-03,6.88E-02,4.29E-07,6.91E-03,6.88E-02,4.29E-07,7.00E-03
6.05E-02,2.86E-07,1.58E-03,6.99E-02,4.50E-07,6.89E-03,6.99E-02,4.50E-07,7.00E-03
7.81E-02,6.39E-07,7.90E-04,6.59E-02,3.75E-07,6.86E-03,6.67E-02,3.89E-07,7.00E-03
1.12E-01,2.06E-06,4.71E-04,3.91E-02,7.41E-08,6.76E-03,5.87E-02,2.61E-07,7.00E-03
1.42E-01,4.42E-06,3.59E-04,3.37E-02,4.70E-08,6.55E-03,3.42E-02,4.91E-08,7.00E-03
1.66E-01,7.45E-06,3.02E-04,3.42E-02,4.91E-08,6.29E-03,3.42E-02,4.92E-08,6.99E-03
1.89E-01,1.18E-05,2.67E-04,3.60E-02,5.73E-08,6.06E-03,3.60E-02,5.73E-08,6.99E-03
2.11E-01,1.74E-05,2.44E-04,3.64E-02,5.93E-08,5.85E-03,3.64E-02,5.93E-08,6.99E-03
2.23E-01,2.09E-05,2.27E-04,2.52E-02,1.94E-08,5.43E-03,2.52E-02,1.94E-08,6.98E-03
2.32E-01,2.40E-05,2.13E-04,1.27E-02,2.39E-09,2.56E-03,1.27E-02,2.39E-09,6.95E-03
2.43E-01,2.85E-05,2.01E-04,1.99E-01,1.41E-05,7.90E-06,2.53E-03,1.86E-11,3.46E-03
2.55E-01,3.41E-05,1.90E-04,2.54E-01,3.38E-05,7.28E-06,2.50E-01,3.20E-05,7.69E-08
2.67E-01,4.05E-05,1.82E-04,2.67E-01,4.05E-05,6.95E-06,2.67E-01,4.05E-05,7.33E-08
2.78E-01,4.73E-05,1.74E-04,2.78E-01,4.73E-05,6.67E-06,2.78E-01,4.73E-05,7.04E-08
2.89E-01,5.44E-05,1.68E-04,2.89E-01,5.44E-05,6.43E-06,2.89E-01,5.44E-05,6.78E-08
2.98E-01,6.14E-05,1.63E-04,2.98E-01,6.14E-05,6.22E-06,2.98E-01,6.14E-05,6.56E-08
3.06E-01,6.81E-05,1.58E-04,3.06E-01,6.81E-05,6.03E-06,3.06E-01,6.81E-05,6.36E-08
3.13E-01,7.45E-05,1.53E-04,3.13E-01,7.45E-05,5.86E-06,3.13E-01,7.45E-05,6.18E-08
3.19E-01,8.03E-05,1.49E-04,3.19E-01,8.03E-05,5.70E-06,3.19E-01,8.03E-05,6.01E-08
3.24E-01,8.55E-05,1.45E-04,3.24E-01,8.55E-05,5.55E-06,3.24E-01,8.55E-05,5.86E-08
3.29E-01,9.01E-05,1.42E-04,3.29E-01,9.01E-05,5.41E-06,3.29E-01,9.01E-05,5.71E-08
3.32E-01,9.42E-05,1.38E-04,3.32E-01,9.42E-05,5.28E-06,3.32E-01,9.42E-05,5.57E-08
3.35E-01,9.76E-05,1.35E-04,3.35E-01,9.76E-05,5.15E-06,3.35E-01,9.76E-05,5.44E-08
3.38E-01,1.01E-04,1.32E-04,3.38E-01,1.01E-04,5.03E-06,3.38E-01,1.01E-04,5.31E-08
3.40E-01,1.03E-04,1.28E-04,3.40E-01,1.03E-04,4.91E-06,3.40E-01,1.03E-04,5.18E-08
3.42E-01,1.05E-04,1.25E-04,3.42E-01,1.05E-04,4.79E-06,3.42E-01,1.05E-04,5.06E-08
3.43E-01,1.07E-04,1.22E-04,3.43E-01,1.07E-04,4.68E-06,3.43E-01,1.07E-04,4.94E-08
3.44E-01,1.08E-04,1.19E-04,3.44E-01,1.08E-04,4.56E-06,3.44E-01,1.08E-04,4.82E-08
3.45E-01,1.10E-04,1.16E-04,3.45E-01,1.10E-04,4.45E-06,3.45E-01,1.10E-04,4.70E-08
3.46E-01,1.11E-04,1.14E-04,3.46E-01,1.11E-04,4.34E-06,3.46E-01,1.11E-04,4.58E-08
3.47E-01,1.12E-04,1.11E-04,3.47E-01,1.12E-04,4.23E-06,3.47E-01,1.12E-04,4.46E-08
3.47E-01,1.12E-04,1.08E-04,3.47E-01,1.12E-04,4.12E-06,3.47E-01,1.12E-04,4.35E-08
3.48E-01,1.13E-04,1.05E-04,3.48E-01,1.13E-04,4.01E-06,3.48E-01,1.13E-04,4.24E-08
3.48E-01,1.13E-04,1.02E-04,3.48E-01,1.13E-04,3.91E-06,3.48E-01,1.13E-04,4.12E-08
3.48E-01,1.14E-04,9.94E-05,3.48E-01,1.14E-04,3.80E-06,3.48E-01,1.14E-04,4.01E-08
3.49E-01,1.14E-04,9.66E-05,3.49E-01,1.14E-04,3.69E-06,3.49E-01,1.14E-04,3.90E-08
3.49E-01,1.14E-04,9.38E-05,3.49E-01,1.14E-04,3.59E-06,3.49E-01,1.14E-04,3.78E-08
3.49E-01,1.15E-04,9.10E-05,3.49E-01,1.15E-04,3.48E-06,3.49E-01,1.15E-04,3.67E-08
3.49E-01,1.15E-04,8.82E-05,3.49E-01,1.15E-04,3.37E-06,3.49E-01,1.15E-04,3.56E-08
3.49E-01,1.15E-04,8.54E-05,3.49E-01,1.15E-04,3.27E-06,3.49E-01,1.15E-04,3.45E-08
3.49E-01,1.15E-04,8.27E-05,3.49E-01,1.15E-04,3.16E-06,3.49E-01,1.15E-04,3.33E-08
3.50E-01,1.15E-04,7.99E-05,3.50E-01,1.15E-04,3.05E-06,3.50E-01,1.15E-04,3.22E-08
3.50E-01,1.15E-04,7.71E-05,3.50E-01,1.15E-04,2.95E-06,3.50E-01,1.15E-04,3.11E-08
3.50E-01,1.16E-04,7.44E-05,3.50E-01,1.16E-04,2.84E-06,3.50E-01,1.16E-04,3.00E-08
3.50E-01,1.16E-04,7.16E-05,3.50E-01,1.16E-04,2.74E-06,3.50E-01,1.16E-04,2.89E-08
3.50E-01,1.16E-04,6.88E-05,3.50E-01,1.16E-04,2.63E-06,3.50E-01,1.16E-04,2.78E-08
3.50E-01,1.16E-04,6.61E-05,3.50E-01,1.16E-04,2.53E-06,3.50E-01,1.16E-04,2.67E-08
3.50E-01,1.16E-04,6.33E-05,3.50E-01,1.16E-04,2.42E-06,3.50E-01,1.16E-04,2.55E-08
3.50E-01,1.16E-04,6.06E-05,3.50E-01,1.16E-04,2.32E-06,3.50E-01,1.16E-04,2.44E-08
3.50E-01,1.16E-04,5.78E-05,3.50E-01,1.16E-04,2.21E-06,3.50E-01,1.16E-04,2.33E-08
3.50E-01,1.16E-04,5.51E-05,3.50E-01,1.16E-04,2.11E-06,3.50E-01,1.16E-04,2.22E-08
3.50E-01,1.16E-04,5.23E-05,3.50E-01,1.16E-04,2.00E-06,3.50E-01,1.16E-04,2.11E-08
3.50E-01,1.16E-04,4.95E-05,3.50E-01,1.16E-04,1.89E-06,3.50E-01,1.16E-04,2.00E-08
3.50E-01,1.16E-04,4.68E-05,3.50E-01,1.16E-04,1.79E-06,3.50E-01,1.16E-04,1.89E-08
3.50E-01,1.16E-04,4.40E-05,3.50E-01,1.16E-04,1.68E-06,3.50E-01,1.16E-04,1.78E-08
3.50E-01,1.16E-04,4.13E-05,3.50E-01,1.16E-04,1.58E-06,3.50E-01,1.16E-04,1.67E-08
3.50E-01,1.16E-04,3.85E-05,3.50E-01,1.16E-04,1.47E-06,3.50E-01,1.16E-04,1.55E-08
3.50E-01,1.16E-04,3.58E-05,3.50E-01,1.16E-04,1.37E-06,3.50E-01,1.16E-04,1.44E-08
3.50E-01,1.16E-04,3.30E-05,3.50E-01,1.16E-04,1.26E-06,3.50E-01,1.16E-04,1.33E-08
3.50E-01,1.16E-04,3.03E-05,3.50E-01,1.16E-04,1.16E-06,3.50E-01,1.16E-04,1.22E-08
3.50E-01,1.16E-04,2.75E-05,3.50E-01,1.16E-04,1.05E-06,3.50E-01,1.16E-04,1.11E-08
3.50E-01,1.16E-04,2.48E-05,3.50E-01,1.16E-04,9.47E-07,3.50E-01,1.16E-04,9.99E-09
