Calcite 10years,Gypsum 10years,Ferrihydrite 10years,Jarosite 10years,Gibbsite 10years,Siderite 10years,Calcite 100years,Gypsum 100years,Ferrihydrite 100years,Jarosite 100years,Gibbsite 100years,Siderite 100years,Calcite 300years,Gypsum 300years,Ferrihydrite 300years,Jarosite 300years,Gibbsite 300years,Siderite 300years
2.21E-04,1.00E-10,3.27E-02,3.51E-02,4.50E-02,1.65E-02,1.00E-10,1.00E-10,5.97E-02,4.19E-02,1.38E-02,1.00E-10,1.00E-10,1.00E-10,6.90E-02,4.31E-02,3.01E-04,1.00E-10
2.21E-04,1.00E-10,8.08E-02,4.66E-07,4.50E-02,1.65E-02,1.00E-10,1.00E-10,1.14E-01,4.67E-07,1.39E-02,1.00E-10,1.00E-10,1.00E-10,1.23E-01,4.96E-07,2.09E-03,1.00E-10
2.21E-04,6.37E-02,1.12E-01,3.42E-07,4.50E-02,1.65E-02,1.00E-10,1.00E-10,1.43E-01,3.42E-07,1.61E-02,1.00E-10,1.00E-10,1.00E-10,1.52E-01,3.69E-07,4.13E-03,1.00E-10
2.21E-04,1.84E-01,1.29E-01,2.49E-07,4.51E-02,1.65E-02,1.00E-10,3.70E-02,1.59E-01,2.48E-07,1.78E-02,1.00E-10,1.00E-10,1.00E-10,1.63E-01,2.38E-07,1.25E-02,1.00E-10
2.22E-04,2.73E-01,1.23E-01,1.00E-10,6.08E-02,1.67E-02,1.00E-10,2.71E-01,1.52E-01,1.00E-10,3.38E-02,1.00E-10,1.00E-10,2.70E-01,1.52E-01,1.01E-10,3.37E-02,1.00E-10
2.24E-04,3.27E-01,1.00E-01,1.00E-10,9.22E-02,1.71E-02,1.00E-10,3.28E-01,1.15E-01,1.00E-10,8.42E-02,1.00E-10,1.00E-10,3.28E-01,1.15E-01,1.00E-10,8.42E-02,1.00E-10
2.26E-04,3.62E-01,8.46E-02,1.00E-10,1.09E-01,1.78E-02,1.00E-10,3.63E-01,8.52E-02,1.00E-10,1.22E-01,1.00E-10,1.00E-10,3.63E-01,8.52E-02,1.00E-10,1.22E-01,1.00E-10
2.45E-04,3.84E-01,6.89E-02,1.00E-10,1.14E-01,2.52E-02,1.00E-10,3.85E-01,6.91E-02,1.00E-10,1.33E-01,1.00E-10,1.00E-10,3.85E-01,6.91E-02,1.00E-10,1.33E-01,1.00E-10
3.29E-04,3.96E-01,5.18E-02,1.00E-10,1.07E-01,4.86E-02,1.00E-10,3.98E-01,5.23E-02,1.00E-10,1.42E-01,1.00E-10,1.00E-10,3.98E-01,5.23E-02,1.00E-10,1.42E-01,1.00E-10
5.40E-04,4.05E-01,3.04E-02,1.00E-10,1.15E-01,6.46E-02,1.00E-10,4.07E-01,3.09E-02,1.00E-10,1.61E-01,1.00E-10,1.00E-10,4.07E-01,3.09E-02,1.00E-10,1.61E-01,1.00E-10
1.38E-03,4.08E-01,4.04E-03,1.00E-10,1.35E-01,6.87E-02,1.00E-10,4.12E-01,4.47E-03,1.00E-10,1.85E-01,1.00E-10,1.00E-10,4.12E-01,4.47E-03,1.00E-10,1.85E-01,1.00E-10
5.40E-03,4.05E-01,1.34E-04,1.00E-10,1.32E-01,6.75E-02,1.00E-10,4.16E-01,6.12E-04,1.00E-10,1.83E-01,1.00E-10,1.00E-10,4.16E-01,6.12E-04,1.00E-10,1.83E-01,1.00E-10
1.94E-02,3.85E-01,3.13E-05,1.00E-10,1.23E-01,6.47E-02,1.00E-10,4.23E-01,2.64E-04,1.00E-10,1.77E-01,3.44E-03,1.00E-10,4.23E-01,3.59E-04,1.00E-10,1.80E-01,1.00E-10
4.72E-02,3.41E-01,2.72E-05,1.00E-10,1.13E-01,5.77E-02,1.00E-10,4.29E-01,3.74E-05,1.00E-10,1.16E-01,8.61E-02,1.00E-10,4.31E-01,6.66E-04,1.00E-10,1.72E-01,7.88E-03
